Unique ID,Name,Image ID,Level,First Set,Other Set
0,Slime,0,0,(1-3),(0-2)
1,Zombie,1,1,(2-4),(1-3)
2,Ghost,2,1,(3-5),(2-4)
3,Skeleton,3,1,(4-6),(3-5)
4,Black Wolf,4,2,(5-7),(4-6)
5,Goblin Sciaman,5,2,(6-8),(5-7)
6,Troll,6,2,(7-9),(6-8)
7,Centaur,7,3,(8-10),(7-9)
8,Ginger,8,3,(9-11),(8-10)
9,Nymph,9,4,(10-12),(9-11)
10,Pegasus,10,4,(11-13),(10-12)
11,Minotaur,11,5,(12-14),(11-13)
12,Griffin,12,5,(13-15),(12-14)
13,Elementals,13,6,(14-16),(13-15)
14,Lamia,14,6,(15-17),(14-16)
15,Kraken Queen,15,7,(16-18),(15-17)
16,The Void,19,7,(17-19),(16-18)
17,Rage Quit,20,7,(20-20),(20-20)
